id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1,5.01,0.99,8.71,392.65,61974460073,0.20,5.11,0,32.9,4.7,1,0,1,1
2,2.14,9.73,5.19,154.10,4106075637,-1.32,3.55,1,43.9,5.1,0,1,0,1
3,4.07,27.98,8.24,330.13,66027796628,0.06,2.63,1,48.4,5.4,0,1,1,2
4,3.14,1.42,7.01,232.85,12312221398,-0.11,3.56,1,32.8,4.8,0,1,1,1
5,6.17,1.33,11.83,645.73,314121337760,-2.12,7.22,0,58.4,6.9,1,0,1,3
6,2.57,11.53,3.90,83.69,958155127,-0.81,2.07,1,45.5,4.5,0,1,1,2
7,4.89,5.84,10.85,524.58,177387411647,0.52,6.36,0,46.1,6.3,1,0,1,1
8,2.14,17.78,5.47,183.54,8085653450,0.72,971.73,1,44.6,5.3,0,1,0,2
9,6.05,3.24,12.29,717.97,428508384626,-1.08,6.35,0,63.2,5.8,1,0,1,3
10,4.53,12.50,8.90,416.89,99377675139,1.86,3.24,1,54.2,6.2,0,1,0,2
11,3.39,3.49,6.21,197.04,7608679954,-1.15,3.33,0,33.0,4.5,1,0,0,1
12,4.05,5.56,7.88,335.46,46920352276,0.15,4.53,0,47.0,5.8,1,0,1,2
13,3.16,2.01,8.83,363.84,50921675802,0.68,3.21,1,39.6,5.1,0,1,0,1
14,4.44,225.06,7.75,11.32,41423522995,1.34,5.25,0,38.7,5.5,1,0,1,1
15,5.10,2.59,10.42,537.64,168303020714,0.49,5.93,0,54.2,6.5,1,0,0,3
16,4.23,4.33,6.22,231.33,14974536115,-0.15,5.90,0,49.1,5.0,1,0,0,3
17,3.22,17.22,6.66,222.88,18087490969,2.14,5.82,0,38.1,4.8,1,1,1,2
18,5.63,3.50,12.29,716.02,417999065730,-1.66,6.01,0,40.9,5.9,1,0,0,2
19,5.59,2.33,12.35,769.44,521149041272,-0.83,5.79,0,54.8,6.8,1,0,1,3
20,5.69,2.09,11.29,634.45,276595543046,0.28,4.49,0,55.5,6.5,1,0,0,3
21,4.15,1.14,7.70,340.72,39493557934,1.22,5.14,0,41.6,5.3,1,0,0,2
22,3.78,0.33,7.90,290.96,23166458364,-0.39,4.01,0,35.5,3.7,1,0,0,1
23,3.04,16.04,9.33,411.01,88580817575,0.79,3.66,0,55.2,5.8,1,1,0,3
24, ,2.42,5.79,203.24,8306077594,-0.84,4.75,1,36.8,4.4,0,1,0,1
25,5.65,2.35,12.00,649.01,316766400592,0.07,4.12,0,50.0,5.3,1,0,0,2
26,5.28,4.76,12.54,687.94,377237463897,0.35,6.09,0,49.9,5.9,1,0,1,3
27,2.98,2.80,5.73,5.27,8701371700,-1.28,3.40,1,36.4,4.3,0,1,0,1
28,6.04,1.86,11.50,642.94,293994992181,-0.31,3.91,0,54.6,5800.7,1,0,1,3
29,4.26,8.24,9.51,423.00,87370449566,1.40,4.00,0,49.6,5.9,1,0,1,3
30,4.85,14.10,8.88,383.02,82640780783,1.22,4.24,1,46.9,5.4,0,1,0,2
