id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1,5.06,0.84,8.92,391.42,61974417652,0.18,5.14,0,32.1,4.4,1,0,1,1
2,2.01,9.13,4.65,148.88,4106155736,-1.25,3.61,1,43.1,5.1,0,1,0,1
3,3.85,27.89,7.80,329.62,66027812745,0.08,2.65,1,48.1,6.1,0,1,1,2
4,3.00,1.68,6.44,232.53,12312163334,-0.16,3.48,1,32.2,4.8,0,1,1,1
5,6.26,1.35,11.52,653.04,314121292556,-2.13,7.21,0,58.4,7.1,1,0,1,3
6,2.78,11.01,3.55,91.99,958195511,-0.87,2.07,1,45.3,5.0,0,1,1,2
7,4.73,6.21,10.46,524.89,177387357765,0.53,6.38,0,46.3,6.1,1,0,1,1
8,1.62,18.24,5.60,187.92,8085625388,0.81,971.75,1,44.7,4.9,0,1,0,2
9,5.61,2.81,12.04,721.86,428508368343,-1.04,6.33,0,63.1,6.4,1,0,1,3
10,4.25,12.87,8.94,421.23,99377636184,1.86,3.22,1,54.9,6.1,0,1,0,2
11,2.89,3.21,5.55,192.89,7608694593,-1.09,3.28,0,32.8,4.4,1,0,0,1
12,4.40,5.79,8.28,337.06,46920362841,0.13,4.50,0,47.4,5.9,1,0,1,2
13,3.61,2.04,8.42,369.85,50921737929,0.76,3.24,1,39.2,4.9,0,1,0,1
14,3.77,225.19,8.05,4.00,41423475911,1.37,5.28,0,38.6,5.2,1,0,1,1
15,4.95,2.55,10.25,536.32,168303021203,0.50,5.96,0,54.8,6.4,1,0,0,3
16,3.54,4.75,6.82,236.70,14974600107,-0.17,6.00,0,49.9,4.9,1,0,0,3
17,3.98,17.43,6.28,225.49,18087551940,2.09,5.82,0,38.9,4.5,1,1,1,2
18,5.44,3.55,12.15,714.11,417999036029,-1.67,6.05,0,40.5,6.1,1,0,0,2
19,6.06,2.70,12.52,774.67,521149014429,-0.84,5.76,0,55.0,5.9,1,0,1,3
20,5.65,2.65,11.66,632.46,276595582424,0.29,4.46,0,55.7,6.0,1,0,0,3
21,3.48,1.04,8.43,337.99,39493557785,1.15,5.09,0,42.0,5.4,1,0,0,2
22,3.81,0.99,7.43,285.89,23166503993,-0.34,4.08,0,36.0,3.7,1,0,0,1
23,3.63,16.47,9.31,410.98,88580854145,0.79,3.62,0,55.8,5.4,1,1,0,3
24,2.71,2.40,6.46,206.35,8306088638,-0.88,4.71,1,36.2,4.7,0,1,0,1
25,5.39,2.57,11.57,650.69,316766364939,0.15,4.13,0,49.7,5.7,1,0,0,2
26,5.27,5.08,12.06,687.05,377237473092,0.35,6.13,0,49.4,6.1,1,0,1,3
27,3.31,2.87,6.50,4.15,8701395201,-1.33,3.41,1,36.9,3.7,0,1,0,1
28,6.15,2.33,11.60,638.55,293995071314,-0.32,3.90,0,54.8,5800.5,1,0,1,3
29,3.87,8.69,9.41,422.73,87370435385,1.43,3.94,0,49.8,6.3,1,0,1,3
30,4.83,13.92,8.54,381.28,82640805369,1.28,4.22,1,46.8,5.4,0,1,0,2
31,3.61,10.61,7.90,295.17,31895611732,-0.08,6.11,1,43.2,3.7,0,1,0,1
32,3.46,15.36,8.18,339.18,50933001650,0.67,3.66,0,53.1,5.3,1,1,0,3
33,5.75,4.24,11.01,535.01,198440350735,0.92,7.22,0,60.9,6.6,1,0,0,3
34,3.47,14.49,7.77,336.13,49932358381,0.37,3.23,1,47.1,4.1,0,1,0,1
35,3.30,1.98,5.72,172.43,5150475316,-1.76,2.71,1,35.6,4.2,0,1,0,1
36,2.64,10.94,4.71,142.79,3166748361,0.25,1.36,1,39.5,3.8,0,1,1,1
37,4.40,16.34,7.76,304.31,40844215905,0.16,3.51,1,44.4,5.2,0,1,1,2
38,4.46,1.29,10.54,548.94,173545820395,2.10,2.93,0,46.5,5.2,1,0,1,3
39,0.15,4.66,2.64,63.99,183714869,-0.47,1.41,1,29.0,3.9,0,1,1,1
40,2.67,4.32,45778.56,152.20,3712892781,-0.55,5.90,1,28.3,4.2,0,1,1,1
41,1.98,11.77,5.66,166.34,5133084963,0.26,4.00,1,40.4,4.6,0,1,1,1
42,6.42,1.14,13.22,873.85,747107471050,-0.65,7.35,0,58.4,6.8,1,0,1,3
43,5.68,5.73,11.57,612.46,284450229005,0.78,7.19,0,53.7,6.3,1,0,0,3
44,5.79,2.36,11.63,675.25,341585796428,-2.99,7.97,0,48.6,5.8,1,0,0,2
45,2.52,7.29,5.84,183.24,6677624519,1.12,4.01,1,38.5,3.3,0,1,1,1
46,5.28,7.11,10.98,599.66,269529410971,-0.30,5.62,0,54.1,6.2,1,0,0,3
47,3.45,3.77,9.00,371.34,53740182308,1.04,3.70,0,55.5,5.2,1,0,1,3
48,4.06,15.29,8.61,359.75,62256679535,1.37,3.97,1,43.8,5.3,0,1,1,2
49,6.70,1.00,12.81,815.17,568542795697,-0.80,7.14,0,57.7,5.7,1,0,1,3
50,6.35,5.11,12.13,752.74,507067721324,1.56,9.45,0,53.4,3.9,1,0,1,3
51,4.42,1.43,8.15,307.33,30460065440,0.91,5.32,0,42.0,5.3,1,0,0,2
52,3.38,23.16,4.58,117.06,79457,0.63,2.62,1,54.0,5.9,0,1,1,2
53,5.40,17.25,11.08,609.01,319421403883,0.42,4.38,1,50.8,5.8,0,1,0,2
54,3.76,6.48,7.85,340.04,43927716555,-0.42,4.05,1,32.3,3.8,0,1,1,1
55,4.69,0.87,9.19,446.49,88993868992,1.80,2.09,0,39.0,4.1,1,0,0,1
56,3.31,7.06,6.67,220.64,13157287050,1.36,5.16,0,47.3,4.4,1,1,1,2
